,loss,sec
0,0.000701920552687,0.0762806987762
100,0.000358273585637,7.45040291071
200,0.000229999611173,7.42547686815
300,0.000236961557859,7.55580365896
400,0.000188991201646,7.57895082951
500,0.000203823426155,7.53666445971
600,0.00017215322816,7.53814470053
700,0.000177426602353,7.53719743967
800,0.000155829683398,7.54015282154
900,0.000152962997255,7.56903506994
1000,0.000132234673006,7.53817795038
1100,0.000112199685489,7.57660276175
1200,9.72199357218e-05,7.55874608994
1300,7.77587746129e-05,7.57184853077
1400,6.63141560073e-05,7.60707493067
1500,4.90234327512e-05,7.57893748999
1600,4.71941599942e-05,7.57766316891
1700,3.68650165396e-05,7.55279937029
1800,2.89370649203e-05,7.56116141081
1900,2.2119905969e-05,7.55602641106
2000,2.14103581102e-05,7.55334055901
2100,2.04347412695e-05,7.59448056936
2200,1.63999096857e-05,7.59640017986
2300,1.71075490388e-05,7.60649818182
2400,1.78087161703e-05,7.58000029087
2500,1.58027778709e-05,7.62218466997
2600,1.22210347197e-05,7.60571166992
2700,1.40908458788e-05,7.61513509035
2800,1.58257622535e-05,7.62646323204
2900,1.28892904166e-05,7.58695225
3000,1.28874019014e-05,7.59553950787
3100,1.21111210172e-05,7.59245360851
3200,1.10336701677e-05,7.58315267086
3300,1.1205656755e-05,7.53741253138
3400,1.19237629038e-05,7.59784172058
3500,1.12500039371e-05,7.57464493036
3600,1.01184540645e-05,7.55214537144
3700,1.02174670595e-05,7.55449313164
3800,9.50491768449e-06,7.59691613913
3900,9.62738542714e-06,7.58194219112
4000,9.93141815104e-06,7.58993069172
4100,9.57568232535e-06,7.54083744049
4200,9.09694783258e-06,7.6138032198
4300,9.37685553888e-06,7.54870677948
4400,9.28418188723e-06,7.58620733976
4500,8.13834350368e-06,7.58606513977
4600,8.36309504159e-06,7.53983206987
4700,8.65999703305e-06,7.58643332005
4800,1.01979375074e-05,7.6038936305
4900,7.10983236198e-06,7.54400045156
5000,8.33165584922e-06,7.55927653074
5100,8.69972875925e-06,7.54671643019
5200,7.99216172479e-06,7.59655274868
5300,7.22019467503e-06,7.5617890501
5400,6.59516492783e-06,7.54756249905
5500,5.92005660174e-06,7.5732251215
5600,6.54544088651e-06,7.55322301865
5700,7.54513570832e-06,7.55177922964
5800,7.04518070143e-06,7.52651223898
5900,6.96260637293e-06,7.50171260834
6000,7.60646130081e-06,7.54269567013
6100,6.79606602367e-06,7.54661290169
6200,6.18185055433e-06,7.60923636913
6300,6.21818154204e-06,7.60644514084
6400,6.17471688211e-06,7.6022409606
6500,7.24079901108e-06,7.58012341976
6600,6.18790062333e-06,7.67385215998
6700,7.30978978817e-06,7.79153419971
6800,6.83391511421e-06,7.79445281029
6900,7.28550955013e-06,7.72577018023
7000,6.13920785712e-06,7.74730875015
7100,6.8651555774e-06,7.82974404097
7200,5.39045390494e-06,7.65186353922
7300,5.71015448488e-06,7.61438924789
7400,6.5019732868e-06,7.59814126968
7500,5.1872562523e-06,7.61392981052
7600,5.86205178571e-06,7.70052627087
7700,6.20196159515e-06,7.64988469124
7800,5.90248611953e-06,7.57131628036
7900,4.73694679459e-06,7.63272426128
8000,5.54812787515e-06,7.63626744986
8100,5.99324479793e-06,7.83441952944
8200,5.29604225485e-06,7.79023996115
8300,4.11017816702e-06,7.83313045025
8400,5.16473811891e-06,7.84594750881
8500,5.49596675549e-06,7.8019936204
8600,4.8042536652e-06,7.77597997189
8700,5.00731403008e-06,7.76268346071
8800,4.61521723091e-06,7.79036689997
8900,4.40270253081e-06,7.67436064959
9000,4.99889038202e-06,7.56056035042
9100,4.791955092e-06,7.60485962152
9200,4.48012489336e-06,7.61018483877
9300,4.46109216416e-06,7.58606973171
9400,5.18451872837e-06,7.60619705915
9500,4.15219380897e-06,7.6178934598
9600,4.39547948925e-06,7.60380537033
9700,3.72995484874e-06,7.54554377079
9800,5.12365644534e-06,7.60130192041
9900,4.51072360238e-06,7.59002433062
10000,4.24174482539e-06,7.62017708063
10100,4.55459365809e-06,7.60431344986
10200,4.60469634319e-06,7.60979771852
10300,4.18597806452e-06,7.56890767813
10400,4.17575821036e-06,7.61876147985
10500,4.73000097437e-06,7.59715397835
10600,4.17363451267e-06,7.56698876858
10700,4.45696441786e-06,7.58873351097
10800,4.03565971999e-06,7.58323603153
10900,4.04647311591e-06,7.62575680017
11000,3.93221941494e-06,7.60624372959
11100,4.79706296123e-06,7.58824336052
11200,4.37991305565e-06,7.59441099882
11300,4.01870688574e-06,7.59648180008
11400,4.84056113467e-06,7.59429381132
11500,3.5229340111e-06,7.56728193998
11600,4.35832889064e-06,7.58077400923
11700,3.58583914784e-06,7.58318993092
11800,5.39410099707e-06,7.63940969944
11900,3.82348280071e-06,7.61484396935
12000,4.97018636176e-06,7.57205651999
12100,3.7671745322e-06,7.59715651989
12200,4.66150937207e-06,7.59813743114
12300,4.52246626303e-06,7.60411275864
12400,3.54796271734e-06,7.60667246103
12500,2.98612796927e-06,7.61170691967
12600,3.85449719474e-06,7.60782979012
12700,3.37915697295e-06,7.61202403784
12800,3.216059989e-06,7.62094144821
12900,3.21865669743e-06,7.60192348957
