,predict price=100,real price=100
0,predict price=97.2921408713,real price=98.8412803039,predict ret=-0.0270786,real ret=-0.0115872
1,predict price=94.5215491254,real price=99.2171932167,predict ret=-0.028477,real ret=0.0038032
2,predict price=92.3100384281,real price=99.5190072403,predict ret=-0.0233969,real ret=0.00304195
3,predict price=89.5338997656,real price=98.7852085987,predict ret=-0.0300741,real ret=-0.00737345
4,predict price=87.2645515511,real price=100.133230734,predict ret=-0.0253462,real ret=0.013646
5,predict price=84.2652317318,real price=99.73718538,predict ret=-0.0343704,real ret=-0.00395518
6,predict price=82.5694258217,real price=100.728851783,predict ret=-0.0201246,real ret=0.0099428
7,predict price=80.2809067307,real price=101.778476644,predict ret=-0.0277163,real ret=0.0104203
8,predict price=78.0164294473,real price=103.270819625,predict ret=-0.0282069,real ret=0.0146627
9,predict price=75.6851806617,real price=103.265401123,predict ret=-0.0298815,real ret=-5.24689e-05
10,predict price=73.5626070714,real price=103.494289701,predict ret=-0.0280448,real ret=0.00221651
11,predict price=71.3118735457,real price=104.653009411,predict ret=-0.0305962,real ret=0.011196
12,predict price=69.2396411829,real price=104.249877442,predict ret=-0.0290587,real ret=-0.00385208
13,predict price=67.5122864052,real price=104.15268953,predict ret=-0.0249475,real ret=-0.000932259
14,predict price=65.4034723513,real price=103.58523085,predict ret=-0.031236,real ret=-0.00544833
15,predict price=63.4851582766,real price=103.696672525,predict ret=-0.0293305,real ret=0.00107585
16,predict price=61.6383372804,real price=103.782436718,predict ret=-0.0290906,real ret=0.000827068
17,predict price=60.2866568905,real price=104.572077018,predict ret=-0.0219292,real ret=0.00760861
18,predict price=58.4911196666,real price=104.043249588,predict ret=-0.0297833,real ret=-0.00505706
19,predict price=57.3394883804,real price=105.189130539,predict ret=-0.019689,real ret=0.0110135
20,predict price=55.5119603306,real price=105.051528198,predict ret=-0.0318721,real ret=-0.00130814
21,predict price=53.9762912027,real price=106.206831136,predict ret=-0.0276638,real ret=0.0109975
22,predict price=52.2847154957,real price=106.049568024,predict ret=-0.0313392,real ret=-0.00148073
23,predict price=50.8726669291,real price=105.400820321,predict ret=-0.0270069,real ret=-0.0061174
24,predict price=49.2401868852,real price=106.013513697,predict ret=-0.0320895,real ret=0.00581298
25,predict price=47.919987692,real price=106.636583928,predict ret=-0.0268114,real ret=0.00587727
26,predict price=46.4703726367,real price=109.090072503,predict ret=-0.0302507,real ret=0.0230079
27,predict price=44.7945882526,real price=108.828074685,predict ret=-0.0360614,real ret=-0.00240167
28,predict price=43.6889582004,real price=110.548834432,predict ret=-0.0246822,real ret=0.0158117
29,predict price=42.4328074527,real price=111.477710648,predict ret=-0.0287521,real ret=0.00840241
30,predict price=41.2143051446,real price=112.549492668,predict ret=-0.028716,real ret=0.00961432
31,predict price=39.8389415853,real price=113.039205608,predict ret=-0.033371,real ret=0.00435109
32,predict price=38.6697068856,real price=113.64954064,predict ret=-0.029349,real ret=0.00539932
33,predict price=37.5645131695,real price=113.491092591,predict ret=-0.0285803,real ret=-0.00139418
34,predict price=36.4858074683,real price=114.5347122,predict ret=-0.0287161,real ret=0.00919561
35,predict price=35.4175148713,real price=114.543202337,predict ret=-0.0292797,real ret=7.41272e-05
36,predict price=34.322263515,real price=114.356246752,predict ret=-0.030924,real ret=-0.00163218
37,predict price=33.4589153479,real price=115.176867996,predict ret=-0.0251542,real ret=0.00717601
38,predict price=32.4213090736,real price=114.252811992,predict ret=-0.0310114,real ret=-0.00802293
39,predict price=31.4983750653,real price=113.534682139,predict ret=-0.0284669,real ret=-0.00628545
40,predict price=30.2884353964,real price=112.809362136,predict ret=-0.0384128,real ret=-0.00638853
41,predict price=29.5698095669,real price=115.081796732,predict ret=-0.0237261,real ret=0.020144
42,predict price=28.7631115907,real price=116.97584521,predict ret=-0.0272811,real ret=0.0164583
43,predict price=27.8677647604,real price=116.506046103,predict ret=-0.0311283,real ret=-0.00401621
44,predict price=27.143005716,real price=116.614657738,predict ret=-0.0260071,real ret=0.00093224
45,predict price=26.5963205127,real price=118.398667933,predict ret=-0.0201409,real ret=0.0152983
46,predict price=25.8022499653,real price=119.255815152,predict ret=-0.0298564,real ret=0.0072395
47,predict price=25.100722262,real price=119.332974161,predict ret=-0.0271886,real ret=0.000647004
48,predict price=24.3726535021,real price=119.476225096,predict ret=-0.0290059,real ret=0.00120043
49,predict price=23.6695136986,real price=118.822415504,predict ret=-0.0288495,real ret=-0.0054723
50,predict price=22.902469067,real price=119.300578195,predict ret=-0.0324064,real ret=0.00402418
