,predict_price,real_price,predict_ratio,real_ratio
0,99.780389294,98.8412803039,-0.00219611,-0.0115872
1,100.522744409,99.2171932167,0.00743989,0.0038032
2,102.411593657,99.5190072403,0.0187903,0.00304195
3,101.709522858,98.7852085987,-0.00685538,-0.00737345
4,101.920748457,100.133230734,0.00207675,0.013646
5,101.012686003,99.73718538,-0.0089095,-0.00395518
6,102.835484079,100.728851783,0.0180452,0.0099428
7,100.689121331,101.778476644,-0.0208718,0.0104203
8,101.064382674,103.270819625,0.00372693,0.0146627
9,101.862806789,103.265401123,0.00790015,-5.24689e-05
10,101.23780192,103.494289701,-0.00613575,0.00221651
11,101.759182691,104.653009411,0.00515006,0.011196
12,102.425960276,104.249877442,0.00655251,-0.00385208
13,102.971807565,104.15268953,0.00532919,-0.000932259
14,101.765949656,103.58523085,-0.0117106,-0.00544833
15,102.149875157,103.696672525,0.00377263,0.00107585
16,103.102848801,103.782436718,0.00932917,0.000827068
17,106.047310752,104.572077018,0.0285585,0.00760861
18,107.729005663,104.043249588,0.015858,-0.00505706
19,106.971424244,105.189130539,-0.00703229,0.0110135
20,106.348758443,105.051528198,-0.00582086,-0.00130814
21,107.598444165,106.206831136,0.0117508,0.0109975
22,107.211566516,106.049568024,-0.00359557,-0.00148073
23,109.301916724,105.400820321,0.0194974,-0.0061174
24,109.612770485,106.013513697,0.00284399,0.00581298
25,109.96067146,106.636583928,0.00317391,0.00587727
26,107.658126726,109.090072503,-0.0209397,0.0230079
27,106.537116503,108.828074685,-0.0104127,-0.00240167
28,106.430070368,110.548834432,-0.00100478,0.0158117
29,106.057443538,111.477710648,-0.00350114,0.00840241
30,105.877291388,112.549492668,-0.00169863,0.00961432
31,106.161245155,113.039205608,0.00268191,0.00435109
32,107.202529935,113.64954064,0.00980852,0.00539932
33,107.819644912,113.491092591,0.00575653,-0.00139418
34,108.017056629,114.5347122,0.00183094,0.00919561
35,106.318421634,114.543202337,-0.0157256,7.41272e-05
36,106.757152261,114.356246752,0.00412657,-0.00163218
37,106.445044567,115.176867996,-0.00292353,0.00717601
38,106.434207859,114.252811992,-0.000101806,-0.00802293
39,106.160002902,113.534682139,-0.00257629,-0.00628545
40,103.975485989,112.809362136,-0.0205776,-0.00638853
41,103.869262274,115.081796732,-0.00102162,0.020144
42,104.992528555,116.97584521,0.0108142,0.0164583
43,104.806867301,116.506046103,-0.00176833,-0.00401621
44,106.291695334,116.614657738,0.0141673,0.00093224
45,107.739611091,118.398667933,0.0136221,0.0152983
46,107.790910487,119.255815152,0.000476142,0.0072395
47,107.585322166,119.332974161,-0.00190729,0.000647004
48,106.468459887,119.476225096,-0.0103812,0.00120043
49,105.758207225,118.822415504,-0.00667101,-0.0054723
50,105.797320478,119.300578195,0.000369837,0.00402418
51,103.508056537,117.938647424,-0.0216382,-0.011416
52,103.395702277,118.018406396,-0.00108546,0.000676275
53,103.316953874,120.809291749,-0.000761622,0.0236479
54,106.418397818,119.954272792,0.0300187,-0.00707743
55,104.677059845,119.155797226,-0.0163631,-0.0066565
56,104.551000408,118.787891287,-0.00120427,-0.0030876
57,102.970422035,119.09783883,-0.0151178,0.00260925
58,103.357434482,118.397137901,0.00375848,-0.00588341
59,103.555964473,115.682951363,0.00192081,-0.0229244
60,102.649514637,115.065897842,-0.00875324,-0.00533401
61,102.73565303,112.361237003,0.000839151,-0.0235053
62,101.538955111,111.427298881,-0.0116483,-0.00831192
63,102.481772127,112.205388896,0.00928527,0.00698294
64,102.909094545,113.538927206,0.00416974,0.0118848
65,101.540631907,111.567478199,-0.0132978,-0.0173636
66,100.559235054,111.497624386,-0.00966507,-0.000626113
67,102.824475058,113.88373263,0.0225264,0.0214005
68,101.70959051,112.954499736,-0.0108426,-0.00815949
69,100.15861633,112.636200132,-0.015249,-0.00281795
70,101.658077184,112.410130109,0.0149709,-0.00200708
71,100.911852836,111.536853939,-0.00734053,-0.00776866
72,101.784519528,112.632070149,0.00864781,0.00981932
73,102.381027234,112.64173372,0.0058605,8.57977e-05
74,104.020368825,112.159440997,0.0160122,-0.00428165
75,103.302648051,110.502656333,-0.00689981,-0.0147717
76,103.607990491,107.42668416,0.0029558,-0.0278362
77,103.693381205,108.163082754,0.000824171,0.00685489
78,101.175890312,106.553994678,-0.0242782,-0.0148765
79,101.24022557,106.136862061,0.000635875,-0.00391475
80,101.954408081,105.473147303,0.00705434,-0.00625339
81,103.489393019,105.715001183,0.0150556,0.00229304
82,103.909578575,104.853861935,0.00406018,-0.00814586
83,103.273495081,103.680888518,-0.00612151,-0.0111867
84,105.137949855,104.56936185,0.0180536,0.00856931
85,104.26865454,101.444266582,-0.00826814,-0.0298854
86,103.934414319,101.710267874,-0.00320557,0.00262214
87,105.541892812,102.834118199,0.0154663,0.0110495
88,106.597143929,100.799763912,0.00999841,-0.0197829
89,102.431490207,100.879637925,-0.0390785,0.000792403
90,103.200098747,101.080018965,0.00750364,0.00198634
91,102.622185327,101.983459332,-0.00559993,0.00893787
92,103.546402079,101.70203083,0.00900601,-0.00275955
93,100.598528756,100.636380548,-0.0284691,-0.0104782
94,99.7637280295,99.4291244946,-0.00829834,-0.0119962
95,97.4257122561,97.7254485013,-0.0234355,-0.0171346
96,98.8219694002,98.7429190107,0.0143315,0.0104115
97,99.1145151206,100.527999138,0.00296033,0.0180781
98,99.5235533853,101.778948376,0.00412693,0.0124438
99,99.9268987475,99.6530664079,0.00405276,-0.0208872
