gpu=-1,hidden=100,epochs=40000,size=100,sequence=100
[0]training loss:	0.00443950385758	0.0137406682968[sec/epoch]
[100]training loss:	0.00035044675072	1.42434246063[sec/epoch]
[200]training loss:	0.000254532247029	1.37024626017[sec/epoch]
[300]training loss:	0.000267786585321	1.37451159[sec/epoch]
[400]training loss:	0.000251941815621	1.36602734804[sec/epoch]
[500]training loss:	0.000257144672702	1.36737298012[sec/epoch]
[600]training loss:	0.00023657544469	1.48402597904[sec/epoch]
[700]training loss:	0.000259087938401	1.37978173018[sec/epoch]
[800]training loss:	0.000226010747179	1.3548575902[sec/epoch]
[900]training loss:	0.000211629866049	1.35799638033[sec/epoch]
[1000]training loss:	0.000198909166184	1.35569144011[sec/epoch]
[1100]training loss:	0.000172163312784	1.36607264042[sec/epoch]
[1200]training loss:	0.000156825916334	1.41252018929[sec/epoch]
[1300]training loss:	0.00013374013243	1.35632595062[sec/epoch]
[1400]training loss:	0.000110181114364	1.35518299103[sec/epoch]
[1500]training loss:	9.47076413367e-05	1.35574124813[sec/epoch]
[1600]training loss:	7.15279349625e-05	1.35325614929[sec/epoch]
[1700]training loss:	5.75511161276e-05	1.3541059804[sec/epoch]
[1800]training loss:	4.57156242596e-05	1.35339308023[sec/epoch]
[1900]training loss:	3.97041204828e-05	1.354645679[sec/epoch]
[2000]training loss:	3.68799341636e-05	1.3548519516[sec/epoch]
[2100]training loss:	3.1861989298e-05	1.35249972105[sec/epoch]
[2200]training loss:	2.79161119551e-05	1.35585098028[sec/epoch]
[2300]training loss:	2.70099162754e-05	1.35601202011[sec/epoch]
[2400]training loss:	2.60531375505e-05	1.35517084837[sec/epoch]
[2500]training loss:	2.37133730241e-05	1.35490579128[sec/epoch]
[2600]training loss:	2.08866396787e-05	1.35740365982[sec/epoch]
[2700]training loss:	2.0219575181e-05	1.35482134104[sec/epoch]
[2800]training loss:	2.27233442017e-05	1.35518889189[sec/epoch]
[2900]training loss:	2.02234298217e-05	1.35734652996[sec/epoch]
[3000]training loss:	1.9159235032e-05	1.3549633503[sec/epoch]
[3100]training loss:	1.86853658765e-05	1.3554124999[sec/epoch]
[3200]training loss:	1.72686008172e-05	1.35702988863[sec/epoch]
[3300]training loss:	1.78513018358e-05	1.35652107954[sec/epoch]
[3400]training loss:	1.77025136472e-05	1.35719824791[sec/epoch]
[3500]training loss:	1.54985105525e-05	1.35515981913[sec/epoch]
[3600]training loss:	1.63595888274e-05	1.4879718399[sec/epoch]
[3700]training loss:	1.58885853704e-05	1.35556867838[sec/epoch]
[3800]training loss:	1.47468744391e-05	1.35616705179[sec/epoch]
[3900]training loss:	1.41363207608e-05	1.35777004957[sec/epoch]
[4000]training loss:	1.38779093201e-05	1.35597460985[sec/epoch]
[4100]training loss:	1.47046627138e-05	1.35491940975[sec/epoch]
[4200]training loss:	1.32668888046e-05	1.35690113068[sec/epoch]
[4300]training loss:	1.36458453713e-05	1.35709479809[sec/epoch]
[4400]training loss:	1.36467661107e-05	1.35796802998[sec/epoch]
[4500]training loss:	1.22707711081e-05	1.35467231989[sec/epoch]
[4600]training loss:	1.23340939877e-05	1.35517215967[sec/epoch]
[4700]training loss:	1.29341832221e-05	1.35484085083[sec/epoch]
[4800]training loss:	1.36909133877e-05	1.36081766844[sec/epoch]
[4900]training loss:	1.13672788509e-05	1.3541725111[sec/epoch]
[5000]training loss:	1.20527510804e-05	1.3569701314[sec/epoch]
[5100]training loss:	1.20331545012e-05	1.35486946821[sec/epoch]
[5200]training loss:	1.1723318062e-05	1.35570906878[sec/epoch]
[5300]training loss:	1.08554312545e-05	1.35507160187[sec/epoch]
[5400]training loss:	1.03633119395e-05	1.35585726023[sec/epoch]
[5500]training loss:	9.96531735203e-06	1.47401894093[sec/epoch]
[5600]training loss:	9.45776830324e-06	1.35565534115[sec/epoch]
[5700]training loss:	1.0401377398e-05	1.35634776115[sec/epoch]
[5800]training loss:	1.05800502228e-05	1.35474869967[sec/epoch]
[5900]training loss:	9.74662352654e-06	1.35515176058[sec/epoch]
[6000]training loss:	9.41154789274e-06	1.35766494036[sec/epoch]
[6100]training loss:	9.07571791116e-06	1.35752948046[sec/epoch]
[6200]training loss:	8.60375667348e-06	1.36088226795[sec/epoch]
[6300]training loss:	8.91746362822e-06	1.35529010057[sec/epoch]
[6400]training loss:	8.50153696545e-06	1.3562520504[sec/epoch]
[6500]training loss:	9.29629907595e-06	1.35758370876[sec/epoch]
[6600]training loss:	9.05482312476e-06	1.35597105026[sec/epoch]
[6700]training loss:	8.91530347725e-06	1.3544306612[sec/epoch]
[6800]training loss:	8.30729153346e-06	1.35460530043[sec/epoch]
[6900]training loss:	8.18567867908e-06	1.35531154871[sec/epoch]
[7000]training loss:	8.27011918047e-06	1.35467308044[sec/epoch]
[7100]training loss:	8.23423092376e-06	1.35566645861[sec/epoch]
[7200]training loss:	7.40822893803e-06	1.3538472414[sec/epoch]
[7300]training loss:	7.50495595952e-06	1.35529874086[sec/epoch]
[7400]training loss:	7.8699185814e-06	1.35382652998[sec/epoch]
[7500]training loss:	7.06062219435e-06	1.35835921049[sec/epoch]
[7600]training loss:	7.61295233693e-06	1.35649660826[sec/epoch]
[7700]training loss:	7.16788656633e-06	1.35590342999[sec/epoch]
[7800]training loss:	7.28121100257e-06	1.35603142023[sec/epoch]
[7900]training loss:	6.29261444144e-06	1.35930063963[sec/epoch]
[8000]training loss:	7.66524280694e-06	1.35489186049[sec/epoch]
[8100]training loss:	7.02646546856e-06	1.35517841101[sec/epoch]
[8200]training loss:	6.85061071764e-06	1.35638550997[sec/epoch]
[8300]training loss:	5.74660188791e-06	1.35750748158[sec/epoch]
[8400]training loss:	6.10719305567e-06	1.35499969006[sec/epoch]
[8500]training loss:	6.13230819146e-06	1.35634410143[sec/epoch]
[8600]training loss:	5.62884132237e-06	1.35627599955[sec/epoch]
[8700]training loss:	5.97057849959e-06	1.35637316942[sec/epoch]
[8800]training loss:	5.44167076698e-06	1.3557954812[sec/epoch]
[8900]training loss:	5.35231318814e-06	1.35685657978[sec/epoch]
[9000]training loss:	5.64204446614e-06	1.35493863106[sec/epoch]
[9100]training loss:	5.79673279491e-06	1.35526975155[sec/epoch]
[9200]training loss:	5.4956057504e-06	1.35538514137[sec/epoch]
[9300]training loss:	5.42710474081e-06	1.35700593948[sec/epoch]
[9400]training loss:	5.75455399512e-06	1.35554188013[sec/epoch]
[9500]training loss:	5.4341637426e-06	1.35415797949[sec/epoch]
[9600]training loss:	5.22181278828e-06	1.35798260927[sec/epoch]
[9700]training loss:	4.88601102861e-06	1.35491439104[sec/epoch]
[9800]training loss:	5.37779285676e-06	1.35620800018[sec/epoch]
[9900]training loss:	4.92171584299e-06	1.3552769208[sec/epoch]
[10000]training loss:	4.79165141264e-06	1.35595580816[sec/epoch]
[10100]training loss:	4.61483064973e-06	1.35705668926[sec/epoch]
[10200]training loss:	4.91070107209e-06	1.35678026199[sec/epoch]
[10300]training loss:	4.67331200424e-06	1.35528048992[sec/epoch]
[10400]training loss:	5.34355616893e-06	1.35708738089[sec/epoch]
