,loss,sec
21400,1.55E-06,1.354015918
21500,1.67E-06,1.3550457
21600,1.42E-06,1.355778811
21700,1.37E-06,1.35271209
21800,1.33E-06,1.354137919
21900,1.42E-06,1.355664859
22000,1.40E-06,1.353111038
22100,1.40E-06,1.354134431
22200,1.32E-06,1.35492552
22300,1.37E-06,1.355573721
22400,1.31E-06,1.357232621
22500,1.46E-06,1.354457161
22600,1.33E-06,1.356166461
22700,1.34E-06,1.35615036
22800,1.20E-06,1.354900949
22900,1.35E-06,1.35577826
23000,1.24E-06,1.354856908
23100,1.24E-06,1.354336929
23200,1.10E-06,1.3562272
23300,1.38E-06,1.356484771
23400,1.34E-06,1.358478141
23500,1.23E-06,1.35436806
23600,1.17E-06,1.35362061
23700,1.12E-06,1.355894089
23800,1.15E-06,1.354088941
23900,1.18E-06,1.35284044
24000,1.22E-06,1.355556741
24100,1.19E-06,1.352612979
24200,1.17E-06,1.352740631
24300,1.20E-06,1.35442971
24400,1.22E-06,1.355494161
24500,1.07E-06,1.357340951
24600,1.04E-06,1.354321849
24700,9.25E-07,1.35425539
24800,1.26E-06,1.48615308
24900,1.17E-06,1.35545454
25000,1.00E-06,1.354667408
25100,1.11E-06,1.354885271
25200,1.05E-06,1.35664206
25300,1.05E-06,1.357071249
25400,1.05E-06,1.35586225
25500,9.28E-07,1.355007761
25600,9.55E-07,1.35845953
25700,9.40E-07,1.355611291
25800,1.01E-06,1.355513968
25900,9.08E-07,1.35411644
26000,9.14E-07,1.35336082
26100,1.09E-06,1.358561931
26200,8.80E-07,1.35247632
26300,1.11E-06,1.358980742
26400,8.47E-07,1.35670789
26500,8.63E-07,1.352837591
26600,8.17E-07,1.355694749
26700,8.72E-07,1.354845672
26800,9.10E-07,1.35318846
26900,8.77E-07,1.353245969
27000,8.70E-07,1.35668792
27100,8.24E-07,1.355340259
27200,8.40E-07,1.357042301
27300,8.14E-07,1.356585641
27400,7.91E-07,1.357449541
27500,7.82E-07,1.355475509
27600,8.10E-07,1.35698034
27700,7.43E-07,1.35750427
27800,8.13E-07,1.355968649
27900,7.25E-07,1.35757272
28000,7.46E-07,1.356901231
28100,7.26E-07,1.357771251
28200,7.17E-07,1.356336792
28300,7.08E-07,1.356924751
28400,7.89E-07,1.357851431
28500,7.28E-07,1.356686978
28600,7.14E-07,1.356812251
28700,6.41E-07,1.355364261
28800,7.43E-07,1.355289881
28900,6.80E-07,1.35162092
29000,7.18E-07,1.34659302
29100,6.67E-07,1.34485167
29200,6.52E-07,1.34959054
29300,6.22E-07,1.34774111
29400,5.63E-07,1.345452268
29500,6.20E-07,1.346339929
29600,6.36E-07,1.345146492
29700,6.27E-07,1.345282309
29800,6.11E-07,1.348271029
29900,6.09E-07,1.3436218
30000,6.77E-07,1.34682945
30100,5.33E-07,1.34648035
30200,6.03E-07,1.34705462
30300,5.61E-07,1.34349036
30400,5.17E-07,1.344740469
30500,5.54E-07,1.34670984
30600,5.75E-07,1.346211152
30700,5.27E-07,1.34554682
30800,5.35E-07,1.347676749
30900,4.79E-07,1.34281955
31000,5.06E-07,1.34856055
31100,4.65E-07,1.34635792
31200,5.17E-07,1.344959219
31300,4.54E-07,1.345058639
31400,4.48E-07,1.347943511
31500,4.32E-07,1.348474469
31600,4.93E-07,1.34821636
31700,4.26E-07,1.347095392
31800,5.49E-07,1.34887116
31900,4.60E-07,1.348922691
32000,4.48E-07,1.34879854
32100,4.11E-07,1.347361641
32200,4.14E-07,1.345185921
32300,3.77E-07,1.346281209
32400,4.13E-07,1.34712775
32500,4.61E-07,1.345215549
32600,3.85E-07,1.345658939
32700,4.30E-07,1.348586409
32800,3.74E-07,1.349526691
32900,3.64E-07,1.347361059
33000,3.47E-07,1.345692289
33100,3.53E-07,1.346773381
33200,3.73E-07,1.34757339
33300,3.15E-07,1.347748349
33400,3.38E-07,1.348409362
33500,3.80E-07,1.348369319
33600,3.69E-07,1.344063208
33700,3.17E-07,1.348533881
33800,3.20E-07,1.347951372
33900,3.04E-07,1.34675108
34000,2.69E-07,1.344302399
34100,3.81E-07,1.349624319
34200,3.50E-07,1.347338979
34300,3.06E-07,1.34757148
34400,2.91E-07,1.34805434
34500,2.81E-07,1.351261492
34600,2.44E-07,1.34841975
34700,2.86E-07,1.348498361
