,predict price,real price,predict ratio,real ratio
0,100.0226246,98.8412803,0.000226246,-0.0115872
1,99.82651134,99.21719322,-0.00196069,0.0038032
2,100.1665607,99.51900724,0.0034064,0.00304195
3,100.1684341,98.7852086,1.87E-05,-0.00737345
4,100.2876031,100.1332307,0.00118969,0.013646
5,100.1611228,99.73718538,-0.00126118,-0.00395518
6,100.4196948,100.7288518,0.00258156,0.0099428
7,100.7259428,101.7784766,0.00304968,0.0104203
8,100.8606029,103.2708196,0.00133689,0.0146627
9,101.1740279,103.2654011,0.00310751,-5.25E-05
10,101.1420217,103.4942897,-0.000316348,0.00221651
11,101.0644627,104.6530094,-0.000766832,0.011196
12,101.2923811,104.2498774,0.00225518,-0.00385208
13,101.283387,104.1526895,-8.88E-05,-0.000932259
14,101.0306114,103.5852309,-0.00249573,-0.00544833
15,100.9973156,103.6966725,-0.000329562,0.00107585
16,100.9453147,103.7824367,-0.000514874,0.000827068
17,101.2530008,104.572077,0.00304805,0.00760861
18,101.2339991,104.0432496,-0.000187665,-0.00505706
19,101.6199756,105.1891305,0.00381272,0.0110135
20,101.5229663,105.0515282,-0.000954628,-0.00130814
21,101.5976237,106.2068311,0.000735374,0.0109975
22,101.5762085,106.049568,-0.000210784,-0.00148073
23,101.5748457,105.4008203,-1.34E-05,-0.0061174
24,101.3119693,106.0135137,-0.00258801,0.00581298
25,101.5148367,106.6365839,0.0020024,0.00587727
26,101.5144122,109.0900725,-4.18E-06,0.0230079
27,101.238428,108.8280747,-0.00271867,-0.00240167
28,101.5154773,110.5488344,0.0027366,0.0158117
29,101.7223308,111.4777106,0.00203766,0.00840241
30,101.7370288,112.5494927,0.000144491,0.00961432
31,101.5772183,113.0392056,-0.00157082,0.00435109
32,101.6538843,113.6495406,0.000754755,0.00539932
33,101.6311909,113.4910926,-0.000223242,-0.00139418
34,101.669547,114.5347122,0.000377405,0.00919561
35,101.8533073,114.5432023,0.00180743,7.41E-05
36,101.6483774,114.3562468,-0.00201201,-0.00163218
37,101.6605533,115.176868,0.000119785,0.00717601
38,101.7356144,114.252812,0.000738351,-0.00802293
39,101.6563987,113.5346821,-0.000778643,-0.00628545
40,100.9662243,112.8093621,-0.00678929,-0.00638853
41,101.1269094,115.0817967,0.00159147,0.020144
42,101.3816582,116.9758452,0.0025191,0.0164583
43,101.434927,116.5060461,0.000525428,-0.00401621
44,101.5743419,116.6146577,0.00137443,0.00093224
45,102.1433716,118.3986679,0.0056021,0.0152983
46,102.2878576,119.2558152,0.00141454,0.0072395
47,102.5343362,119.3329742,0.00240966,0.000647004
48,102.4140818,119.4762251,-0.00117282,0.00120043
49,102.4361823,118.8224155,0.000215795,-0.0054723
50,102.123963,119.3005782,-0.00304794,0.00402418
51,101.8928228,117.9386474,-0.00226333,-0.011416
52,101.9272152,118.0184064,0.000337536,0.000676275
53,102.3662376,120.8092917,0.00430721,0.0236479
54,102.2564732,119.9542728,-0.00107227,-0.00707743
55,102.0629622,119.1557972,-0.00189241,-0.0066565
56,102.1050071,118.7878913,0.00041195,-0.0030876
57,102.3093451,119.0978388,0.00200125,0.00260925
58,102.4318049,118.3971379,0.00119696,-0.00588341
59,102.2296956,115.6829514,-0.00197311,-0.0229244
60,101.8468498,115.0658978,-0.00374496,-0.00533401
61,101.765148,112.361237,-0.000802202,-0.0235053
62,100.7486334,111.4272989,-0.00998883,-0.00831192
63,101.0200933,112.2053889,0.00269443,0.00698294
64,101.4714941,113.5389272,0.00446843,0.0118848
65,100.9619989,111.5674782,-0.00502107,-0.0173636
66,101.2959696,111.4976244,0.00330788,-0.000626113
67,101.882782,113.8837326,0.00579305,0.0214005
68,101.6421714,112.9544997,-0.00236164,-0.00815949
69,101.4131279,112.6362001,-0.00225343,-0.00281795
70,101.6118644,112.4101301,0.00195967,-0.00200708
71,101.1636569,111.5368539,-0.00441098,-0.00776866
72,101.424479,112.6320701,0.00257822,0.00981932
73,101.6991328,112.6417337,0.00270796,8.58E-05
74,101.9885128,112.159441,0.00284545,-0.00428165
75,102.0993709,110.5026563,0.00108697,-0.0147717
76,102.213086,107.4266842,0.00111377,-0.0278362
77,101.5772609,108.1630828,-0.00622058,0.00685489
78,101.2979265,106.5539947,-0.00274997,-0.0148765
79,101.0370485,106.1368621,-0.00257535,-0.00391475
80,101.1418311,105.4731473,0.00103707,-0.00625339
81,101.1157763,105.7150012,-0.000257606,0.00229304
82,100.6966012,104.8538619,-0.0041455,-0.00814586
83,100.4583608,103.6808885,-0.00236592,-0.0111867
84,100.3790311,104.5693619,-0.000789678,0.00856931
85,100.0643349,101.4442666,-0.00313508,-0.0298854
86,99.8476193,101.7102679,-0.00216576,0.00262214
87,100.1820447,102.8341182,0.00334936,0.0110495
88,100.27244,100.7997639,0.00090231,-0.0197829
89,100.2852158,100.8796379,0.000127411,0.000792403
90,100.361409,101.080019,0.000759766,0.00198634
91,100.1611352,101.9834593,-0.00199553,0.00893787
92,100.5373663,101.7020308,0.00375626,-0.00275955
93,100.1384466,100.6363805,-0.00396788,-0.0104782
94,100.1285239,99.42912449,-9.91E-05,-0.0119962
95,99.27981655,97.7254485,-0.00847618,-0.0171346
96,99.16060275,98.74291901,-0.00120079,0.0104115
97,99.23150245,100.5279991,0.000714999,0.0180781
98,99.95937288,101.7789484,0.00733507,0.0124438
99,100.152929,99.65306641,0.00193635,-0.0208872
100,100.4162825,101.6043714,0.00262951,0.019581
101,100.0881342,100.565572,-0.00326788,-0.010224
102,100.5634321,101.167785,0.00474879,0.00598826
103,100.3447063,100.944545,-0.002175,-0.00220663
104,100.746585,100.9496184,0.00400498,5.03E-05
105,101.0890034,102.7366887,0.00339881,0.0177026
106,101.1101015,101.9692056,0.000208708,-0.00747039
107,101.4533833,103.1052964,0.00339513,0.0111415
108,101.585277,103.9506633,0.00130004,0.00819906
109,100.9984215,103.6476643,-0.00577697,-0.00291483
110,101.0410418,102.8969084,0.00042199,-0.00724335
111,100.5374817,102.0648634,-0.00498372,-0.0080862
112,100.5360116,102.8482568,-1.46E-05,0.00767545
113,100.8266321,104.5401525,0.00289071,0.0164504
114,100.810993,106.103051,-0.000155108,0.0149502
115,101.4237023,106.0641782,0.0060778,-0.000366369
116,101.484928,106.8076289,0.000603663,0.00700944
117,101.5950809,106.9632469,0.00108541,0.00145699
118,101.4403521,106.2676193,-0.001523,-0.00650343
119,101.1230212,104.8083856,-0.00312825,-0.0137317
120,100.9131966,104.3471917,-0.00207494,-0.00440035
121,100.8334005,104.2679044,-0.000790739,-0.000759841
122,100.6118903,102.7247932,-0.00219679,-0.0147995
123,100.4660403,102.7732146,-0.00144963,0.00047137
124,101.0176351,103.1369905,0.00549036,0.0035396
125,101.0437807,102.8040805,0.000258822,-0.00322784
126,101.3384803,103.6146815,0.00291655,0.00788491
127,101.3766671,102.1341305,0.000376824,-0.014289
128,100.9899819,100.2310167,-0.00381434,-0.0186335
129,100.7193568,99.99269458,-0.00267972,-0.00237773
130,100.4005704,98.55325966,-0.0031651,-0.0143954
131,100.5322475,99.46269367,0.00131152,0.00922784
132,101.1384151,100.9180389,0.00602958,0.0146321
133,101.6305722,101.7285364,0.00486617,0.00803125
134,101.6999045,102.4308709,0.000682199,0.00690401
135,101.5833023,101.8040388,-0.00114653,-0.00611956
136,101.4278896,101.9375111,-0.0015299,0.00131107
137,101.0694819,100.7822197,-0.00353362,-0.0113333
138,101.6578274,102.7987768,0.0058212,0.0200091
139,101.7288346,103.7060941,0.000698492,0.00882615
140,101.8034029,104.6232014,0.00073301,0.00884333
141,101.8199411,105.7710726,0.000162452,0.0109715
142,101.7522267,104.7443067,-0.000665041,-0.00970744
143,101.8655089,104.6702078,0.00111331,-0.000707426
144,101.7164445,105.197137,-0.00146334,0.00503419
145,101.7544812,105.1401219,0.000373948,-0.000541983
146,101.6326215,107.1159196,-0.00119759,0.018792
147,101.8621543,107.9374841,0.00225846,0.00766986
148,102.0815915,108.0395038,0.00215426,0.000945174
149,102.0715749,107.8717488,-9.81E-05,-0.00155272
150,101.8975736,107.5751232,-0.0017047,-0.0027498
151,101.7596529,108.1214946,-0.00135352,0.00507898
152,101.3926253,106.8567518,-0.00360681,-0.0116974
153,101.7197389,107.029097,0.00322621,0.00161286
154,101.7392509,106.4153452,0.000191821,-0.00573444
155,101.6419502,106.8455582,-0.000956373,0.00404277
156,101.66443,105.8321027,0.000221167,-0.00948524
157,101.2855693,104.137262,-0.00372658,-0.0160144
158,101.4985246,103.3786027,0.00210252,-0.00728519
159,101.3432172,102.2513472,-0.00153014,-0.0109041
160,101.4405157,102.2601825,0.000960089,8.64E-05
161,102.1330379,104.5111733,0.00682688,0.0220124
162,102.1762569,104.4843109,0.000423163,-0.000257029
163,102.0175902,103.7540441,-0.00155287,-0.00698925
164,102.2358575,105.5514912,0.00213951,0.0173241
165,102.2658031,105.9660468,0.000292907,0.00392752
166,102.7239604,107.9008432,0.00448006,0.0182586
167,102.939145,107.4812256,0.00209478,-0.00388892
168,103.0151755,108.7586922,0.000738597,0.0118855
169,103.2371406,107.0478374,0.00215468,-0.0157307
