,loss,sec
0,0.000606029623687,0.488970959187
100,0.000435215204653,26.9370426607
200,0.000289533324916,23.18591398
300,0.000301566332428,22.6263067698
400,0.000271254115634,20.6715640712
500,0.000280179139791,23.1083574581
600,0.000232491962085,23.2037111712
700,0.000220835792145,18.6864988923
800,0.000202425783782,18.3925050306
900,0.000185519475678,17.3942914605
1000,0.00018702302542,17.6405899811
1100,0.000183922210426,17.7405374408
1200,0.000174140990382,18.5867554092
1300,0.00017521031803,18.2498285508
1400,0.000187813897025,18.5469000411
1500,0.00017158017315,17.8133857894
1600,0.000148242866301,17.7566517806
1700,0.000148997378695,18.6012710905
1800,0.000138631607923,18.3547891212
1900,0.000133171705811,18.3654430985
2000,0.000133233539986,17.8054413986
2100,0.000118166782112,18.0759660912
2200,0.00010668530571,18.0829458189
2300,9.84873246364e-05,17.009756999
2400,8.92291880316e-05,17.0165201712
2500,8.48288581979e-05,19.4310586286
2600,6.99411729595e-05,21.4914369822
2700,6.35609454052e-05,19.7914205289
2800,5.82520680671e-05,18.3910980487
2900,4.65845952582e-05,17.8889250898
3000,5.05657358603e-05,18.4757534313
3100,4.52188953682e-05,17.7018122697
3200,3.66475832921e-05,17.9849692321
3300,3.22268231574e-05,17.9028976202
3400,3.04280629739e-05,17.6061653209
3500,2.76190059429e-05,17.4088843107
3600,2.50483957129e-05,17.709326098
3700,2.40713230927e-05,17.3489860702
3800,2.45212930057e-05,17.8111990213
3900,2.14109954546e-05,17.5710283089
4000,1.93781663918e-05,17.7590952897
4100,1.83956398901e-05,18.4054543209
4200,1.94115293767e-05,18.1194526315
4300,1.87870376094e-05,17.7538479996
4400,1.83385505219e-05,16.7350201488
4500,1.75707938262e-05,18.4214426517
4600,1.75355681961e-05,16.9474800992
4700,1.70117733304e-05,17.8069444919
4800,0.000442533255225,18.1425727296
4900,0.00039084131519,18.2071443796
5000,0.000279432990485,17.8889458084
5100,0.000293841039894,18.2525792909
5200,0.00022227473256,18.7349387193
5300,0.000200009236884,17.8958853412
5400,0.000178818863751,17.8320334506
5500,0.000197239502361,17.5843531203
5600,0.000200368181774,18.2489603996
5700,0.000207756843531,18.6623166299
5800,0.000176328243782,18.181255548
5900,0.00022113332619,17.9498225498
6000,0.000217870893804,18.6429538608
6100,0.000198799100789,19.7479252696
6200,0.000194524461874,17.9109241915
6300,0.000173669458941,18.3250488615
6400,0.000182494577585,19.0895455003
6500,0.000165482851291,19.142006011
6600,0.000158579963626,18.7598799801
6700,0.000192153201711,18.0236356902
6800,0.000175968452234,18.520999279
6900,0.000174048441378,18.8043628097
7000,0.000158080172659,18.0054537511
7100,0.000138985011915,18.8546955395
7200,0.000163904833372,18.2536517501
7300,0.000152744588,27.9326753402
7400,0.000162513324558,19.9948094296
7500,0.000137344284943,18.3344155812
7600,0.000143823787721,17.7445709181
7700,0.000147631448327,17.9058556509
7800,0.000132958244796,17.7907165217
7900,0.00014110959389,17.9094133806
8000,0.00014791582156,19.09482759
8100,0.000139065717131,18.35635535
8200,0.000135999643291,18.5419623089
8300,0.000119578883503,17.915238781
8400,0.00012383439738,17.9907459497
8500,0.000107303280571,17.6415659189
8600,0.000124753678613,18.366009798
8700,0.000123081973406,18.8837334013
8800,0.00011416802164,17.7437090898
8900,0.00010778443568,18.2253042912
9000,0.000113422041665,17.9621548295
9100,0.0001008931284,19.0556470895
9200,0.000110343362045,18.0130147696
9300,9.4340690835e-05,18.5037312198
9400,9.62237780443e-05,17.7229183698
9500,8.88195283937e-05,18.0130675912
9600,8.63812600422e-05,18.9664090705
9700,8.79618085243e-05,18.4109561706
9800,8.4505106012e-05,18.317479701
9900,7.13195585919e-05,18.0926529813
10000,7.6720232351e-05,17.8270642781
10100,6.69234103025e-05,18.0475675392
10200,6.58413922094e-05,18.4535914493
10300,0.000545738208475,18.5534845495
10400,0.000267016560291,18.4358784699
10500,0.000199258590888,18.179553802
10600,0.000187930190051,18.4046575522
10700,0.00021903373,19.1420965099
10800,0.000180968732545,18.5787803102
10900,0.000194175959085,18.4557577014
11000,0.000171159836228,18.9754961801
11100,0.000189831235794,18.7534885192
11200,0.000180537370269,18.4073107195
11300,0.000144587218235,18.8079226112
11400,0.000183638486296,17.574702599
11500,0.000139765149791,18.0645485687
11600,0.000129963252505,18.2966892886
11700,0.000127153649851,18.1828185701
11800,0.000131437564363,18.5021192002
11900,0.000122423274348,18.9291057181
12000,0.000121048294158,17.955068059
12100,0.000104688013894,18.9437156606
12200,9.40721877145e-05,17.9220652103
12300,9.76402632365e-05,18.4021460795
12400,7.74751680743e-05,17.9213523793
12500,7.03495579085e-05,17.9146848512
12600,6.30149175648e-05,17.8074718404
12700,6.46930009202e-05,18.6965502095
12800,5.35736537792e-05,18.3839232898
12900,5.1173682541e-05,18.8809055305
13000,4.52354428067e-05,18.52893893
13100,3.9883150785e-05,17.8813807702
13200,3.60988179278e-05,17.8951466203
13300,3.39480295702e-05,17.9404001808
13400,2.97641734395e-05,17.9076074386
13500,2.70672678722e-05,18.1895828295
13600,2.35642673391e-05,18.1102467203
13700,2.22429205108e-05,17.3030205011
13800,2.43526436577e-05,19.0679466915
13900,2.11246984286e-05,18.7034798002
14000,1.956529873e-05,17.602732029
14100,1.95009986672e-05,17.876864481
14200,1.87459688709e-05,17.6232244802
14300,2.13995914568e-05,18.8809868598
