,predict_price,real_price,predict_ratio,real_ratio
0,100.011155009,100.47860234,0.00011155,0.00478602
1,100.226219889,99.9625854607,0.00215041,-0.00513559
2,99.9950519886,100.895917184,-0.00230646,0.00933681
3,99.0529089893,100.138754863,-0.0094219,-0.00750439
4,98.9374427222,99.3066695703,-0.0011657,-0.00830932
5,98.2722953508,100.007607601,-0.00672291,0.00705832
6,98.4174368797,99.8753247034,0.00147693,-0.00132273
7,98.5769374941,99.7186480538,0.00162065,-0.00156872
8,98.1420293512,98.6644832031,-0.00441187,-0.0105714
9,97.7967879699,98.2588059414,-0.00351777,-0.00411168
10,97.6416158241,98.7057570134,-0.00158668,0.00454871
11,97.2214453156,98.5957674431,-0.00430319,-0.00111432
12,97.8714065247,99.4671115442,0.00668537,0.00883754
13,97.7575898942,99.1588214333,-0.00116292,-0.00309942
14,97.615018138,98.9775802837,-0.00145842,-0.00182779
15,97.3591071124,99.5634570322,-0.00262164,0.00591929
16,97.7612214664,99.53557115,0.00413022,-0.000280081
17,98.1971115486,99.734383994,0.00445872,0.0019974
18,98.3406407406,99.5788429393,0.00146164,-0.00155955
19,98.3189749533,99.3257354504,-0.000220314,-0.00254178
20,99.0467037135,100.545055438,0.00740171,0.012276
21,98.9012161657,100.462601684,-0.00146888,-0.000820068
22,99.1733475938,100.313267919,0.00275155,-0.00148646
23,98.8411160583,101.014556004,-0.00335001,0.00699098
24,99.0893471821,101.70212313,0.00251142,0.00680661
25,99.1791134474,101.827063151,0.000905912,0.00122849
26,99.3415720581,101.435277614,0.00163803,-0.00384756
27,99.2560026703,101.269507751,-0.000861365,-0.00163424
28,99.0606986479,101.946231311,-0.00196768,0.0066824
29,99.0002751748,101.400569673,-0.000609964,-0.00535245
30,97.7302506047,100.547847425,-0.0128285,-0.00840944
31,98.1359020872,100.818629077,0.00415073,0.00269306
32,98.37142968,101.929880609,0.00240001,0.0110223
33,98.6637693494,102.649875955,0.00297179,0.00706363
34,98.0756584204,102.998995908,-0.00596076,0.00340108
35,98.302619142,103.289091036,0.00231414,0.00281649
36,98.1667245665,103.662860885,-0.00138241,0.00361868
37,98.1700078171,103.807908452,3.34457e-05,0.00139922
38,98.8530948811,104.265267633,0.00695821,0.00440582
39,98.7361995964,103.929091638,-0.00118252,-0.00322424
40,98.5443699069,104.626622892,-0.00194285,0.00671161
41,97.7124242392,103.736742206,-0.00844235,-0.0085053
42,97.8084121956,104.25240904,0.000982352,0.00497092
43,97.6475236702,103.608566211,-0.00164494,-0.00617581
44,97.9348954044,103.353614466,0.00294295,-0.00246072
45,97.7582389353,103.809044012,-0.00180382,0.00440652
46,96.6589255795,102.955015417,-0.0112452,-0.00822692
47,96.7204503656,103.867010113,0.000636514,0.00885819
48,96.6958133287,103.536170514,-0.000254724,-0.00318522
49,95.8041763133,102.636940527,-0.00922105,-0.00868518
50,95.6737649356,102.69682772,-0.00136123,0.000583486
51,95.8876431161,101.419020781,0.00223549,-0.0124425
52,95.9451223801,101.122274354,0.000599444,-0.00292594
53,96.6397651728,102.023434047,0.00724,0.00891158
54,96.2572788552,102.501507005,-0.00395786,0.00468591
55,96.011524957,102.011104845,-0.00255309,-0.00478434
56,96.0100002063,102.944607379,-1.58809e-05,0.00915099
57,96.2296108834,103.40668823,0.00228737,0.00448864
58,96.2313380556,103.265312106,1.79484e-05,-0.00136719
59,96.5615235323,103.822773569,0.00343116,0.00539834
60,96.2601730243,102.6939418,-0.00312081,-0.0108727
61,96.2644543149,102.035233932,4.44762e-05,-0.00641428
62,96.3368055711,101.748630932,0.000751588,-0.00280886
63,95.9249982329,101.09858082,-0.00427466,-0.00638878
64,95.4797438319,99.4157029202,-0.00464169,-0.0166459
65,93.9227897886,95.6364745485,-0.0163066,-0.0380144
66,93.963414777,96.7505266051,0.000432536,0.0116488
67,93.7711775118,96.949168685,-0.00204587,0.00205314
68,93.0534829542,96.0382156219,-0.00765368,-0.00939619
69,94.4906709052,96.5764490063,0.0154448,0.00560437
70,93.9248447553,96.819677757,-0.00598817,0.00251851
71,93.8956633194,96.4879672506,-0.000310689,-0.00342606
72,93.5331406617,96.2220865555,-0.00386091,-0.00275558
73,93.5357002879,96.2525168317,2.7366e-05,0.00031625
74,92.7420930242,96.1931504717,-0.00848454,-0.000616777
75,93.5412732937,97.8548706612,0.00861723,0.0172748
76,93.6026580928,97.6725793078,0.000656232,-0.00186287
77,93.801208299,97.5688824175,0.0021212,-0.00106168
78,93.214618293,97.229999801,-0.00625354,-0.00347327
79,93.1669163526,96.8561445716,-0.000511743,-0.00384506
80,92.9866941121,96.6040787417,-0.0019344,-0.00260248
81,92.9557136108,95.713233274,-0.000333171,-0.00922161
82,93.6063879567,94.6480540504,0.00699983,-0.0111289
83,94.0159828147,94.735664901,0.00437571,0.000925649
84,94.8352476981,96.8493225697,0.0087141,0.0223111
85,94.6885978588,96.5007319864,-0.00154636,-0.00359931
86,94.6672424742,97.5618043267,-0.000225533,0.0109955
87,94.8521926843,97.3432254685,0.00195369,-0.00224041
88,94.5752322432,96.3008604711,-0.00291992,-0.0107081
89,94.4681219714,96.4189869769,-0.00113254,0.00122664
90,94.9573149322,97.8562711086,0.00517839,0.0149067
91,94.7447214176,98.5929672523,-0.00223883,0.00752835
92,94.1256383259,99.0570545629,-0.00653422,0.0047071
93,94.5499468729,98.6232182157,0.0045079,-0.00437966
94,94.634467376,98.798081303,0.000893924,0.00177304
95,93.8953615783,98.5407730023,-0.00781011,-0.00260439
96,93.6227354678,98.0759001653,-0.00290351,-0.00471757
97,93.9692291581,98.631790608,0.00370096,0.00566796
98,93.868351602,97.5812972254,-0.00107352,-0.0106507
99,94.1165757702,98.8346335892,0.00264439,0.012844
100,94.1183579288,98.8982776064,1.89357e-05,0.000643944
101,94.3160760931,99.1116993658,0.00210074,0.00215799
102,94.3891220456,99.8108016486,0.00077448,0.00705368
103,94.1658502285,99.8151732258,-0.00236544,4.37986e-05
104,94.2847785469,100.668945685,0.00126297,0.00855353
105,94.4704592009,100.400699904,0.00196936,-0.00266463
106,94.2404061543,100.447830973,-0.00243519,0.00046943
107,94.2722783049,100.959655602,0.0003382,0.00509543
108,94.0936236241,101.217313986,-0.00189509,0.00255209
109,93.3350491191,100.870038272,-0.00806191,-0.00343099
110,92.5387549212,99.7968160124,-0.00853157,-0.0106397
111,92.4613118686,100.667195308,-0.000836872,0.00872151
112,92.85458393,101.223350428,0.00425337,0.00552469
113,92.9360489143,101.280787145,0.000877339,0.000567426
114,92.6296666999,101.684022444,-0.0032967,0.00398136
115,92.8334464444,101.566604606,0.00219994,-0.00115473
116,93.0361313919,101.451457942,0.00218332,-0.00113371
117,92.69029862,101.334381642,-0.00371719,-0.00115401
118,92.4852608525,101.123239576,-0.00221207,-0.00208362
119,93.4592835014,102.07449305,0.0105317,0.00940687
120,93.8240402584,102.226183366,0.00390284,0.00148607
121,93.646320663,101.943781182,-0.00189418,-0.00276252
122,93.996391285,102.856740717,0.00373822,0.00895552
123,94.1953834451,102.807953232,0.00211702,-0.000474325
124,94.1575249905,102.861812431,-0.000401914,0.000523882
125,94.5058797061,103.076105107,0.0036997,0.00208331
126,94.8077494951,103.053205556,0.00319419,-0.000222162
127,94.3057123487,102.251627338,-0.00529532,-0.00777829
128,94.3637929895,102.842669718,0.000615876,0.00578027
129,94.3288172611,102.626797479,-0.000370648,-0.00209905
130,94.2822142977,103.475933623,-0.000494048,0.00827402
131,94.5036281162,103.679032673,0.00234842,0.00196277
132,94.8852139208,104.040037871,0.00403779,0.00348195
133,94.5169166881,104.45376666,-0.0038815,0.00397663
134,94.4463013846,104.395015055,-0.000747118,-0.000562465
135,94.6007263753,104.758726873,0.00163506,0.003484
136,94.6656867109,103.897611581,0.000686679,-0.00821999
137,94.1410552224,102.876156702,-0.00554194,-0.00983136
138,93.8199871966,102.985446133,-0.0034105,0.00106234
139,93.8481207375,104.046339159,0.000299867,0.0103014
140,94.1262003211,105.775383391,0.00296308,0.016618
141,93.6869698942,107.220104279,-0.0046664,0.0136584
142,93.3506945004,107.20576004,-0.00358935,-0.000133783
143,92.7617617628,107.16090868,-0.00630882,-0.000418367
144,92.6892927422,107.677804993,-0.000781238,0.00482355
145,91.6708351518,107.305785473,-0.0109879,-0.00345493
146,91.8657550842,107.605238526,0.0021263,0.00279065
147,91.7179717111,107.46849866,-0.00160869,-0.00127075
148,92.1086673637,108.874216944,0.00425975,0.0130803
149,91.7625811332,109.052751473,-0.00375737,0.00163982
150,91.4085409229,109.309188876,-0.00385822,0.0023515
151,91.2474457956,108.460231973,-0.00176236,-0.00776656
152,90.9921366,108.76029978,-0.00279799,0.00276662
153,90.3469753636,107.626746382,-0.0070903,-0.0104225
154,90.9099592312,108.879724102,0.00623135,0.0116419
155,90.7220131539,108.534019422,-0.00206739,-0.00317511
156,91.2603048587,109.350368801,0.00593342,0.0075216
157,91.0841719366,110.163746868,-0.00193001,0.00743827
158,90.7684675089,110.158760538,-0.00346607,-4.52629e-05
159,91.7812546918,110.230106044,0.0111579,0.000647661
160,91.9689919746,109.58573387,0.00204549,-0.0058457
161,91.9598332922,110.968467132,-9.95845e-05,0.0126178
162,91.902106657,112.755477456,-0.000627737,0.0161038
163,91.1802010612,112.803744108,-0.00785516,0.000428065
164,90.5600446146,112.211830857,-0.00680144,-0.00524728
165,90.3720038422,113.545426605,-0.00207642,0.0118846
166,90.0722841454,113.299738841,-0.00331651,-0.00216378
167,90.7325700604,114.959981965,0.00733062,0.0146535
168,89.7495297025,115.379653386,-0.0108345,0.00365059
169,88.8828660373,115.054320958,-0.00965647,-0.00281967
170,88.8892562156,117.093832617,7.18944e-05,0.0177265
171,89.4217325365,116.371736852,0.00599033,-0.00616681
172,89.4723620704,117.472238743,0.000566188,0.00945678
173,89.6545452689,119.057635691,0.0020362,0.0134959
174,89.5440082007,118.682200891,-0.00123292,-0.00315339
175,89.7769830108,118.253615559,0.00260179,-0.0036112
176,89.8823179034,120.120799906,0.0011733,0.0157897
177,89.7288734924,119.69282078,-0.00170717,-0.00356291
178,88.7121767365,116.80425849,-0.0113308,-0.0241331
179,88.4849353471,115.652177144,-0.00256156,-0.00986335
